"varname","cls","rule"
"has_TESTCASE","factor","TRUE:TRUE,FALSE:FALSE"
"has_ATTACHMENT","factor","TRUE:TRUE,FALSE:FALSE"
"has_CODE","factor","TRUE:TRUE,FALSE:FALSE"
"has_STACK","factor","TRUE:TRUE,FALSE:FALSE"
"STEP","factor","TRUE:TRUE,FALSE:FALSE"
"TASK","factor","TRUE:TRUE,FALSE:FALSE"
"LINK","factor","TRUE:TRUE,FALSE:FALSE"
"lix","numeric","greaterOrEqual,50.5135135135135"
"colemanlieu","numeric","lowerOrEqual,14.1849"
"text_multinomial","numeric","greaterOrEqual,0.0339640882548911"
"text_gaussian","numeric","lowerOrEqual,0.435618162155151"
"text_bernoulli","numeric","greaterOrEqual,3.10247337634033e-05"
"reporter_bugnum","numeric","greaterOrEqual,79"
"reporter_recent_bugnum","numeric","greaterOrEqual,22"
"reporter_stable_sp_rate","numeric","lowerOrEqual,0.90801280797783"
"assignee_recent_bugnum","numeric","lowerOrEqual,3.9557774644345"
"assignee_stable_sp_rate","numeric","lowerOrEqual,0.868704204013286"
"count_summ_before","numeric","lowerOrEqual,0.684950615046546"
"wordsDiff","numeric","lowerOrEqual,-0.057241253554821"
"sp_diff","numeric","lowerOrEqual,-0.231570881092921"
"sp_sprint","numeric","greaterOrEqual,3.00950993038714"
"collab_closeness","numeric","lowerOrEqual,0.526665657975758"
"collab_kcore","numeric","lowerOrEqual,1.97925632214174"
"collab_out_degree","numeric","greaterOrEqual,21.0097878298257"
